trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_Distractor,Fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
93,0,93,0,5,199.2925921000001,199.2925921000001,0.022851499999887892,[-0.25925925925925924],[0.48518518518518516],[1],[0],[0],[1.8122593999999026],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
94,0,94,0,5,201.13208110000005,201.13208110000005,0.02702499999986685,[-0.08425925925925926],[-0.09074074074074075],[1],[0],[0],[2.1938436000000365],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
95,0,95,0,10,203.38545810000005,203.38545810000005,0.042885500000011234,[-0.23055555555555557],[0.2222222222222222],[1],[0],[0],[1.6951618999999027],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
96,0,96,0,10,205.1352770000001,205.1352770000001,0.04544609999993554,[0.2740740740740741],[-0.2574074074074074],[1],[0],[0],[1.9084874000000127],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
97,0,97,0,5,207.0453457000001,207.0453457000001,0.012756599999875107,[0.34444444444444444],[-0.31574074074074077],[1],[0],[0],[1.779392899999948],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
98,0,98,0,10,208.89532350000013,208.89532350000013,0.04864100000008875,[0.14351851851851852],[-0.3398148148148148],[1],[0],[0],[1.6748295000002145],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
99,0,99,0,5,210.58367650000014,210.58367650000014,0.0174246999999923,[0.1259259259259259],[-0.2518518518518518],[1],[0],[0],[1.0404668999999558],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
100,0,100,0,5,211.65747870000018,211.65747870000018,0.025513299999829542,[-0.44074074074074077],[0.06851851851851852],[1],[0],[0],[2.4436940000000504],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
101,0,101,0,10,214.15617980000002,214.15617980000002,0.03821990000005826,[0.4305555555555556],[-0.4111111111111111],[1],[0],[0],[1.6227446000000327],[],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
102,0,102,0,10,215.79754560000015,215.79754560000015,0.024702299999944444,[-0.2722222222222222],[-0.20833333333333334],[1],[0],[0],[1.7961430000000291],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
103,0,103,0,5,217.60368560000006,217.60368560000006,0.014185300000008283,[-0.462037037037037],[-0.47129629629629627],[1],[0],[0],[2.308706999999913],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
104,0,104,0,10,219.9722365,219.9722365,0.04444360000002234,[0.4759259259259259],[-0.12222222222222222],[1],[0],[0],[2.342199500000106],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
105,0,105,0,5,222.32144560000006,222.32144560000006,0.013438899999982823,[0.027777777777777776],[0.2],[1],[0],[0],[1.8446404999999686],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
106,0,106,0,5,224.20792540000002,224.20792540000002,0.02739219999989473,[-0.21851851851851853],[-0.23148148148148148],[1],[0],[0],[1.3286593000000266],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
107,0,107,0,5,225.5692094000001,225.5692094000001,0.028588099999979022,[-0.1361111111111111],[-0.2777777777777778],[1],[0],[0],[1.2950906000000941],['Target'],533945,001,2023-09-28_15h42.19.410,3_Visual Search,2023.1.3,60.07972579612826,
